name,latitude,longitude,weight
2023_10_15T14_45_33.700782.gpx,22.6551923,120.3095268,1
2023_07_07T00_25_57.961832Z.gpx,47.7824233,-122.19515519999999,1
2023_06_20T13_32_03.637023Z.gpx,47.694047,-122.0990877,1
2023_03_27T13_44_58.208267Z.gpx,47.777470099999995,-122.1916964,1
2023_07_07T00_35_57.949542Z.gpx,47.7114202,-122.1645855,1
2023_05_09T22_32_43.113450Z.gpx,47.7155899,-122.0905659,1
2023_05_02T23_41_11.025424Z.gpx,47.7226899,-122.2084979,1
2023_05_19T22_05_45.354101Z.gpx,47.938912699999996,-122.2811354,1
2023_07_25T00_17_34.485212Z.gpx,47.711113499999996,-122.1335208,1
2023_06_20T21_58_47.654625Z.gpx,47.939453199999996,-122.28185119999999,1
2023_10_15T16_24_49.026206.gpx,24.9354807,121.3680911,1
2023_10_15T20_18_01.891910Z.gpx,40.37315803240189,-74.31770245080216,1
2023_05_30T21_34_06.130658Z.gpx,47.9395524,-122.2726819,1
2023_10_15T17_29_05.500851Z.gpx,38.86843286042118,-121.30582755056396,1
2023_10_15T13_35_54.779337Z.gpx,29.551638452768216,-81.86207060642839,1
2023_10_15T00_12_58.414692Z.gpx,38.80186901163306,-121.20424814090758,1
2023_06_07T20_21_43.869520Z.gpx,47.742900899999995,-122.1873478,1
2023_10_15T15_01_34.313826.gpx,31.0361074,-92.4136175,1
2023_10_15T11_59_19.766262.gpx,24.731915299999997,120.9171112,1
2023_10_15T00_36_56.295699Z.gpx,38.84705774086799,-121.24770262448116,1
2023_06_08T21_48_22.445494Z.gpx,47.7787017,-122.19281439999999,1
2023_10_15T16_31_30.312286.gpx,30.4500723,-91.2449353,1
2023_10_15T20_03_11.747535.gpx,25.032500499999998,121.2433564,1
2023_10_15T15_04_04.325014.gpx,31.0119324,-92.3697301,1
2023_06_20T13_43_43.788329Z.gpx,47.7112042,-122.13223819999999,1
2023_03_22T22_03_46.476584Z.gpx,47.939591899999996,-122.27297379999999,1
2023_10_15T19_35_23.536701.gpx,25.035733399999998,121.44232059999999,1
2023_06_14T14_18_17.315302Z.gpx,47.7438267,-122.1868243,1
2023_05_23T13_28_42.198187Z.gpx,47.7112973,-122.1403364,1
2023_10_15T08_02_35.376718.gpx,24.3151947,120.6193314,1
2023_05_10T13_34_03.309391Z.gpx,47.850276199999996,-122.2570944,1
2023_03_27T13_23_03.937076Z.gpx,47.693983499999995,-122.0991495,1
2023_07_03T13_08_37.744143Z.gpx,47.702999299999995,-122.0937505,1
2023_03_30T11_50_02.195473Z.gpx,47.443671599999995,-122.30175469999999,1
2023_10_15T16_34_04.137892.gpx,30.4416482,-91.22075009999999,1
2023_05_20T17_57_35.172432Z.gpx,48.4125088,-122.33138009999999,1
2023_05_02T22_13_16.337433Z.gpx,47.8602062,-122.24991879999999,1
2023_04_03T14_12_59.624428Z.gpx,47.7115416,-122.15990079999999,1
2023_05_25T22_13_16.319420Z.gpx,47.939333,-122.2819887,1
